# Edge list
# node_from node_to nu tau ec price
1	2	7.19450017777778	360	4 0
1	3	6.50096477500000	240	1 0
2	1	7.19450017777778	360	4 0
2	6	1.37727248000000	300	1 0
3	1	6.50096477500000	240	1 0
3	4	4.75292325555556	240	1 0
3	12	6.50096477500000	240	2 0
4	3	4.75292325555556	240	1 0
4	5	4.93966502777778	120	1 0
4	11	1.36356298055556	360	2 0
5	4	4.93966502777778	120	1 0
5	6	1.37444318583333	240	1 0
5	9	2.77777777777778	300	1 0
6	2	1.37727248000000	300	1 0
6	5	1.37444318583333	240	1 0
6	8	1.36071879055556	120	1 0
7	8	2.17828091944444	180	2 0
7	18	6.50096477500000	120	1 0
8	6	1.36071879055556	120	1 0
8	7	2.17828091944444	180	2 0
8	9	1.40283143222222	600	1 0
8	16	1.40161738416667	300	1 0
9	5	2.77777777777778	300	1 0
9	8	1.40283143222222	600	1 0
9	10	3.86549678333333	180	1 0
10	9	3.86549678333333	180	1 0
10	11	2.77777777777778	300	1 0
10	15	3.75333376388889	360	2 0
10	16	1.34858825472222	240	1 0
10	17	1.38708630388889	480	1 0
11	4	1.36356298055556	360	2 0
11	10	2.77777777777778	300	1 0
11	12	1.36356298055556	360	1 0
11	14	1.35458563527778	240	2 0
12	3	6.50096477500000	240	3 0
12	11	1.36356298055556	360	1 0
12	13	7.19450017777778	180	5 0
13	12	7.19450017777778	180	5 0
13	24	1.41423782000000	240	1 0
14	11	1.35458563527778	240	2 0
14	15	1.42431281083333	300	1 0
14	23	1.36799739027778	240	1 0
15	10	3.75333376388889	360	2 0
15	14	1.42431281083333	300	1 0
15	19	4.04576476388889	180	1 0
15	22	2.66643904583333	180	1 0
16	8	1.40161738416667	300	1 0
16	10	1.34858825472222	240	1 0
16	17	1.45275279527778	120	1 0
16	18	5.46663797500000	180	2 0
17	10	1.38708630388889	480	1 0
17	16	1.45275279527778	120	1 0
17	19	1.33998634194444	120	1 0
18	7	6.50096477500000	120	2 0
18	16	5.46663797500000	180	2 0
18	20	6.50096477500000	240	6 0
19	15	4.04576476388889	180	1 0
19	17	1.33998634194444	120	1 0
19	20	1.38961321194444	240	3 0
20	18	6.50096477500000	240	6 0
20	19	1.38961321194444	240	3 0
20	21	1.40553120555556	360	1 0
20	22	1.40991588694444	300	2 0
21	20	1.40553120555556	360	1 0
21	22	1.45275279527778	120	1 0
21	24	1.35704376777778	180	1 0
22	15	2.66643904583333	180	1 0
22	20	1.40991588694444	300	2 0
22	21	1.45275279527778	120	1 0
22	23	1.38888888888889	240	1 0
23	14	1.36799739027778	240	1 0
23	22	1.38888888888889	240	1 0
23	24	1.41069678777778	120	1 0
24	13	1.41423782000000	240	1 0
24	21	1.35704376777778	180	1 0
24	23	1.41069678777778	120	1 0
8	8	10.0000000000000	480	-100 0
